,X,DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,VEHICLE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2
144,35767,1/21/14,9:00,BROOKLYN,11238,40.671645,-73.9625737,1,0,0,0,0,0,1,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
145,35768,1/21/14,9:00,BROOKLYN,11212,40.6571755,-73.9210658,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,64,0,206,0,-110,68,340
146,35769,1/21/14,9:00,BRONX,10475,40.8799484,-73.8233768,1,0,0,0,0,0,1,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
147,35770,1/21/14,9:00,MANHATTAN,NA,40.7091579,-73.8410666,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
148,35771,1/21/14,9:00,QUEENS,11369,40.7703185,-73.8707779,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
149,35772,1/21/14,9:00,QUEENS,11355,40.757649,-73.8251846,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
150,35773,1/21/14,9:00,MANHATTAN,10018,40.755207,-73.996654,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
151,35774,1/21/14,9:00,MANHATTAN,10011,40.7458144,-74.0055325,0,0,0,0,0,0,0,0,Lost Consciousness,VAN,64,0,206,0,-110,68,340
152,35775,1/21/14,9:00,MANHATTAN,10002,40.7169671,-73.9944266,0,0,0,0,0,0,0,0,Pavement Slippery,VAN,64,0,206,0,-110,68,340
153,35776,1/21/14,9:00,BROOKLYN,11230,40.6125498,-73.962859,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
154,35777,1/21/14,9:00,BROOKLYN,11219,40.6412469,-73.9933628,0,0,0,0,0,0,0,0,Unspecified,BUS,64,0,206,0,-110,68,340
155,35778,1/21/14,8:55,QUEENS,11372,40.7568039,-73.8736557,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
156,35779,1/21/14,8:55,BROOKLYN,11212,40.654591,-73.9078422,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
157,35780,1/21/14,8:51,STATEN ISLAND,10304,40.627166,-74.0759411,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
158,35781,1/21/14,8:51,QUEENS,11420,40.6662202,-73.8075921,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
159,35782,1/21/14,8:50,QUEENS,11417,40.6773586,-73.8439188,4,0,0,0,0,0,4,0,Unspecified,BUS,64,0,206,0,-110,68,340
160,35783,1/21/14,8:49,BROOKLYN,11222,40.731153,-73.9517808,1,0,0,0,0,0,1,0,Traffic Control Disregarded,TAXI,64,0,206,0,-110,68,340
161,35784,1/21/14,8:48,QUEENS,11419,40.6926172,-73.8215219,0,0,0,0,0,0,0,0,Pavement Slippery,VAN,64,0,206,0,-110,68,340
162,35785,1/21/14,8:45,MANHATTAN,10036,40.7615008,-73.9978197,1,0,1,0,0,0,0,0,Unspecified,TAXI,64,0,206,0,-110,68,340
163,35786,1/21/14,8:45,STATEN ISLAND,NA,40.7087666,-73.9981083,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
164,35787,1/21/14,8:45,BRONX,NA,40.6525178,-74.0093965,0,0,0,0,0,0,0,0,Fatigued/Drowsy,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
165,35788,1/21/14,8:45,QUEENS,11385,40.7025952,-73.8552926,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
166,35789,1/21/14,8:45,QUEENS,11101,40.7428838,-73.9511589,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
167,35790,1/21/14,8:45,BROOKLYN,11237,40.6967006,-73.9103011,0,0,0,0,0,0,0,0,Traffic Control Disregarded,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
168,35791,1/21/14,8:42,MANHATTAN,10019,40.7642781,-73.9730158,1,0,1,0,0,0,0,0,Unspecified,TAXI,64,0,206,0,-110,68,340
169,35792,1/21/14,8:40,MANHATTAN,10128,40.784669,-73.956032,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
170,35793,1/21/14,8:36,BROOKLYN,11216,40.6865789,-73.9474574,0,0,0,0,0,0,0,0,Unspecified,BUS,64,0,206,0,-110,68,340
171,35794,1/21/14,8:32,MANHATTAN,10036,40.758981,-73.9959428,0,0,0,0,0,0,0,0,Unspecified,OTHER,64,0,206,0,-110,68,340
172,35795,1/21/14,8:30,BRONX,10467,40.8785453,-73.8657798,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,UNKNOWN,64,0,206,0,-110,68,340
173,35796,1/21/14,8:30,QUEENS,11423,40.7177562,-73.7581371,0,0,0,0,0,0,0,0,Other Vehicular,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
174,35797,1/21/14,8:30,QUEENS,11413,40.6664524,-73.757631,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
175,35798,1/21/14,8:30,BROOKLYN,11235,40.5811496,-73.9637549,0,0,0,0,0,0,0,0,Other Vehicular,PASSENGER VEHICLE,64,0,206,0,-110,68,340
176,35799,1/21/14,8:30,BROOKLYN,11233,40.6831597,-73.9380784,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
177,35800,1/21/14,8:30,BROOKLYN,11218,40.6436456,-73.9897771,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
178,35801,1/21/14,8:30,BROOKLYN,11210,40.6364471,-73.9451224,0,0,0,0,0,0,0,0,Unspecified,OTHER,64,0,206,0,-110,68,340
179,35802,1/21/14,8:30,BROOKLYN,11206,40.7023451,-73.9423813,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
180,35803,1/21/14,8:30,BRONX,10461,40.8367081,-73.8441449,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
181,35804,1/21/14,8:25,BRONX,NA,40.6674025,-73.7736279,0,0,0,0,0,0,0,0,Turning Improperly,PASSENGER VEHICLE,64,0,206,0,-110,68,340
182,35805,1/21/14,8:20,BROOKLYN,11203,40.6546816,-73.9413268,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,64,0,206,0,-110,68,340
183,35806,1/21/14,8:20,BROOKLYN,11211,40.7137996,-73.9331802,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,VAN,64,0,206,0,-110,68,340
184,35807,1/21/14,8:15,BRONX,10463,40.8756317,-73.9127898,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
185,35808,1/21/14,8:03,BRONX,10456,40.8300048,-73.9181109,0,0,0,0,0,0,0,0,Driver Inexperience,PASSENGER VEHICLE,64,0,206,0,-110,68,340
186,35809,1/21/14,8:00,BROOKLYN,11221,40.6856945,-73.9355882,1,0,1,0,0,0,0,0,Unspecified,BUS,64,0,206,0,-110,68,340
187,35810,1/21/14,8:00,QUEENS,11433,40.7024739,-73.7999209,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
188,35811,1/21/14,8:00,MANHATTAN,10027,40.8155447,-73.9569184,0,0,0,0,0,0,0,0,Lost Consciousness,PASSENGER VEHICLE,64,0,206,0,-110,68,340
189,35812,1/21/14,8:00,MANHATTAN,10016,40.7502815,-73.981124,0,0,0,0,0,0,0,0,Unspecified,TAXI,64,0,206,0,-110,68,340
190,35813,1/21/14,8:00,BRONX,10457,40.8438254,-73.8924833,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
191,35814,1/21/14,7:52,BROOKLYN,11228,40.6189731,-74.0052266,1,0,1,0,0,0,0,0,Unspecified,UNKNOWN,64,0,206,0,-110,68,340
192,35815,1/21/14,7:51,BRONX,10466,40.8929658,-73.8610017,0,0,0,0,0,0,0,0,Unspecified,LARGE COM VEH(6 OR MORE TIRES),64,0,206,0,-110,68,340
193,35816,1/21/14,7:45,BROOKLYN,NA,40.6046957,-74.0258266,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,64,0,206,0,-110,68,340
194,35817,1/21/14,7:35,QUEENS,11101,40.7450696,-73.93635,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,SMALL COM VEH(4 TIRES),64,0,206,0,-110,68,340
195,35818,1/21/14,7:34,BROOKLYN,11226,40.6486441,-73.9557613,1,0,1,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
196,35819,1/21/14,7:30,MANHATTAN,10002,40.712355,-73.9849511,1,0,0,0,0,0,1,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
197,35820,1/21/14,7:30,MANHATTAN,10029,40.7941774,-73.944866,0,0,0,0,0,0,0,0,Fatigued/Drowsy,TAXI,64,0,206,0,-110,68,340
198,35821,1/21/14,7:30,BRONX,10456,40.8295972,-73.902241,0,0,0,0,0,0,0,0,Driver Inexperience,BUS,64,0,206,0,-110,68,340
199,35822,1/21/14,7:20,MANHATTAN,10016,40.7428535,-73.977207,0,0,0,0,0,0,0,0,Turning Improperly,BUS,64,0,206,0,-110,68,340
200,35823,1/21/14,7:16,QUEENS,11385,40.7058104,-73.8882623,0,0,0,0,0,0,0,0,Unspecified,LARGE COM VEH(6 OR MORE TIRES),64,0,206,0,-110,68,340
201,35824,1/21/14,7:15,BRONX,10471,40.9029607,-73.8964102,0,0,0,0,0,0,0,0,Fatigued/Drowsy,UNKNOWN,64,0,206,0,-110,68,340
202,35825,1/21/14,7:15,BRONX,10471,40.9029607,-73.8964102,0,0,0,0,0,0,0,0,Fatigued/Drowsy,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
203,35826,1/21/14,7:10,BROOKLYN,11207,40.6804042,-73.8876379,1,0,1,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
204,35827,1/21/14,7:07,QUEENS,11433,40.7036765,-73.7908645,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
205,35828,1/21/14,7:00,BROOKLYN,NA,40.6940395,-73.7267806,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
206,35829,1/21/14,7:00,MANHATTAN,10069,40.7741151,-73.988627,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
207,35830,1/21/14,6:50,STATEN ISLAND,10306,40.565245,-74.1364844,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,PASSENGER VEHICLE,64,0,206,0,-110,68,340
208,35831,1/21/14,6:50,QUEENS,11416,40.6908648,-73.8393004,0,0,0,0,0,0,0,0,Other Vehicular,TAXI,64,0,206,0,-110,68,340
209,35832,1/21/14,6:45,BRONX,10455,40.8130953,-73.8982589,0,0,0,0,0,0,0,0,Outside Car Distraction,PASSENGER VEHICLE,64,0,206,0,-110,68,340
210,35833,1/21/14,6:20,MANHATTAN,10002,40.7181251,-73.9902347,1,0,0,0,0,0,1,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
211,35834,1/21/14,6:10,QUEENS,11101,40.74266,-73.9320831,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
212,35835,1/21/14,6:00,BRONX,10458,40.856112,-73.8825188,0,0,0,0,0,0,0,0,Steering Failure,PASSENGER VEHICLE,64,0,206,0,-110,68,340
213,35836,1/21/14,5:47,QUEENS,11379,40.7279234,-73.8710008,0,0,0,0,0,0,0,0,Unspecified,SMALL COM VEH(4 TIRES),64,0,206,0,-110,68,340
214,35837,1/21/14,5:45,BROOKLYN,11214,40.603572,-74.0055855,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
215,35838,1/21/14,5:30,BROOKLYN,11213,40.6775631,-73.9330796,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
216,35839,1/21/14,4:25,BROOKLYN,NA,40.7688772,-73.9489716,0,0,0,0,0,0,0,0,View Obstructed/Limited,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
217,35840,1/21/14,4:00,MANHATTAN,NA,40.7091579,-73.8410666,1,0,0,0,0,0,1,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
218,35841,1/21/14,3:50,MANHATTAN,10001,40.7504525,-73.9872921,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,TAXI,64,0,206,0,-110,68,340
219,35842,1/21/14,3:45,BROOKLYN,11214,40.608595,-74.0048548,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,SMALL COM VEH(4 TIRES),64,0,206,0,-110,68,340
220,35843,1/21/14,23:50,STATEN ISLAND,NA,40.7677685,-73.8649796,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
221,35844,1/21/14,23:50,MANHATTAN,NA,40.6830971,-73.8057517,0,0,0,0,0,0,0,0,Lost Consciousness,PASSENGER VEHICLE,64,0,206,0,-110,68,340
222,35845,1/21/14,23:15,QUEENS,11435,40.7014601,-73.8041291,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
223,35846,1/21/14,23:15,BRONX,10474,40.8172102,-73.884318,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
224,35847,1/21/14,22:52,BROOKLYN,11207,40.6866514,-73.9131379,3,0,0,0,0,0,3,0,Outside Car Distraction,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
225,35848,1/21/14,22:50,BRONX,NA,40.7090458,-73.8414531,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
226,35849,1/21/14,22:50,QUEENS,11373,40.7416789,-73.8675568,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
227,35850,1/21/14,22:45,BROOKLYN,11230,40.6146211,-73.9686568,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
228,35851,1/21/14,22:42,BROOKLYN,11206,40.7026204,-73.9290908,0,0,0,0,0,0,0,0,Unspecified,OTHER,64,0,206,0,-110,68,340
229,35852,1/21/14,22:40,BROOKLYN,NA,40.8997515,-73.8915835,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,PASSENGER VEHICLE,64,0,206,0,-110,68,340
230,35853,1/21/14,22:40,MANHATTAN,10003,40.7319639,-73.9881543,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
231,35854,1/21/14,22:40,BROOKLYN,11211,40.7137996,-73.9331802,0,0,0,0,0,0,0,0,Unspecified,UNKNOWN,64,0,206,0,-110,68,340
232,35855,1/21/14,22:35,QUEENS,11368,40.7507179,-73.8587648,1,0,0,0,0,0,1,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
233,35856,1/21/14,22:30,QUEENS,11101,40.7409163,-73.9522573,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
234,35857,1/21/14,22:30,BROOKLYN,11220,40.6418837,-74.0064968,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
235,35858,1/21/14,22:27,BROOKLYN,11236,40.6461759,-73.889519,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
236,35859,1/21/14,22:25,BROOKLYN,11237,40.6979814,-73.912557,0,0,0,0,0,0,0,0,Illness,PASSENGER VEHICLE,64,0,206,0,-110,68,340
237,35860,1/21/14,22:18,MANHATTAN,10017,40.7526925,-73.9730457,0,0,0,0,0,0,0,0,Unspecified,PICK-UP TRUCK,64,0,206,0,-110,68,340
238,35861,1/21/14,22:13,QUEENS,11385,40.7025952,-73.8552926,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
239,35862,1/21/14,22:10,QUEENS,11356,40.7892564,-73.8518144,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
240,35863,1/21/14,22:10,BROOKLYN,11212,40.6705278,-73.9051093,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
241,35864,1/21/14,21:56,MANHATTAN,10022,40.7577479,-73.9714518,1,0,0,0,0,0,1,0,Pavement Slippery,LIVERY VEHICLE,64,0,206,0,-110,68,340
242,35865,1/21/14,21:56,QUEENS,11385,40.6954689,-73.8920157,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
243,35866,1/21/14,21:55,QUEENS,11411,40.70072,-73.7432247,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
244,35867,1/21/14,21:54,MANHATTAN,10016,40.742258,-73.9776727,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
245,35868,1/21/14,21:45,QUEENS,11354,40.7729663,-73.845536,1,0,0,0,0,0,1,0,Unspecified,TAXI,64,0,206,0,-110,68,340
246,35869,1/21/14,21:44,MANHATTAN,10065,40.7618573,-73.9634255,0,0,0,0,0,0,0,0,Fatigued/Drowsy,TAXI,64,0,206,0,-110,68,340
247,35870,1/21/14,21:40,MANHATTAN,10036,40.7585332,-73.9888427,0,0,0,0,0,0,0,0,Turning Improperly,PASSENGER VEHICLE,64,0,206,0,-110,68,340
248,35871,1/21/14,21:40,BRONX,10463,40.8863823,-73.8989243,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
249,35872,1/21/14,21:30,QUEENS,11105,40.7729137,-73.8966486,1,0,0,0,0,0,1,0,Unspecified,TAXI,64,0,206,0,-110,68,340
250,35873,1/21/14,21:30,QUEENS,11354,40.7639417,-73.8281463,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
251,35874,1/21/14,21:30,BROOKLYN,11225,40.6646826,-73.9510035,0,0,0,0,0,0,0,0,Fatigued/Drowsy,PASSENGER VEHICLE,64,0,206,0,-110,68,340
252,35875,1/21/14,21:30,BROOKLYN,11212,40.6673652,-73.9227263,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
253,35876,1/21/14,21:27,BROOKLYN,11210,40.6285402,-73.953033,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
254,35877,1/21/14,21:25,QUEENS,11434,40.6753136,-73.7771386,0,0,0,0,0,0,0,0,Unspecified,PICK-UP TRUCK,64,0,206,0,-110,68,340
255,35878,1/21/14,21:24,BRONX,10474,40.8065517,-73.886316,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
256,35879,1/21/14,21:21,QUEENS,11367,40.7176783,-73.8171259,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
257,35880,1/21/14,21:16,MANHATTAN,10004,40.7047985,-74.0166846,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
258,35881,1/21/14,21:06,BRONX,10469,40.8586359,-73.8464577,0,0,0,0,0,0,0,0,Unspecified,TAXI,64,0,206,0,-110,68,340
259,35882,1/21/14,21:02,BRONX,10452,40.830573,-73.9307106,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
260,35883,1/21/14,21:00,BROOKLYN,11232,40.6566425,-74.005262,1,0,1,0,0,0,0,0,Unspecified,UNKNOWN,64,0,206,0,-110,68,340
261,35884,1/21/14,21:00,QUEENS,11435,40.6943752,-73.8037605,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
262,35885,1/21/14,21:00,QUEENS,11364,40.7488297,-73.7702267,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
263,35886,1/21/14,21:00,MANHATTAN,10065,40.7614858,-73.9605992,0,0,0,0,0,0,0,0,Turning Improperly,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
264,35887,1/21/14,20:55,MANHATTAN,10032,40.8327659,-73.9458242,0,0,0,0,0,0,0,0,Pavement Slippery,OTHER,64,0,206,0,-110,68,340
265,35888,1/21/14,20:50,QUEENS,11436,40.6853582,-73.7972247,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
266,35889,1/21/14,20:45,QUEENS,11434,40.6673698,-73.7826551,1,0,1,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
267,35890,1/21/14,20:40,MANHATTAN,10022,40.7596199,-73.9619648,0,0,0,0,0,0,0,0,Unspecified,VAN,64,0,206,0,-110,68,340
268,35891,1/21/14,20:37,QUEENS,11385,40.7057718,-73.8999628,0,0,0,0,0,0,0,0,Fatigued/Drowsy,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
269,35892,1/21/14,20:25,BROOKLYN,11215,40.6672538,-73.9945425,1,0,0,0,0,0,1,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
270,35893,1/21/14,20:21,BRONX,10463,40.884868,-73.890804,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
271,35894,1/21/14,20:20,QUEENS,11427,40.7334612,-73.7354562,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,64,0,206,0,-110,68,340
272,35895,1/21/14,20:20,QUEENS,11373,40.73477,-73.8745815,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
273,35896,1/21/14,20:20,QUEENS,11367,40.7288628,-73.827544,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
274,35897,1/21/14,20:20,BROOKLYN,11216,40.6854659,-73.9505916,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
275,35898,1/21/14,20:15,BROOKLYN,11223,40.6057198,-73.9812189,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,64,0,206,0,-110,68,340
276,35899,1/21/14,20:14,MANHATTAN,10032,40.839178,-73.9411352,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
277,35900,1/21/14,20:14,BRONX,10469,40.8712851,-73.858487,0,0,0,0,0,0,0,0,Unspecified,UNKNOWN,64,0,206,0,-110,68,340
278,35901,1/21/14,20:10,MANHATTAN,10037,40.8141049,-73.9408539,2,0,0,0,0,0,2,0,View Obstructed/Limited,PASSENGER VEHICLE,64,0,206,0,-110,68,340
279,35902,1/21/14,20:10,MANHATTAN,10036,40.759626,-73.9954735,1,0,0,0,1,0,0,0,Unspecified,TAXI,64,0,206,0,-110,68,340
280,35903,1/21/14,20:10,BROOKLYN,11230,40.6170038,-73.9691095,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
281,35904,1/21/14,20:09,BRONX,10462,40.8331233,-73.8420393,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
282,35905,1/21/14,20:02,QUEENS,11372,40.7564397,-73.8769988,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
283,35906,1/21/14,20:00,QUEENS,11417,40.6675837,-73.8354742,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
284,35907,1/21/14,20:00,QUEENS,11411,40.6869658,-73.7383125,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
285,35908,1/21/14,20:00,BROOKLYN,11236,40.6446241,-73.9070848,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
286,35909,1/21/14,1:20,MANHATTAN,10035,40.8030725,-73.9383714,1,0,0,0,0,0,1,0,Unspecified,TAXI,64,0,206,0,-110,68,340
287,35910,1/21/14,1:14,QUEENS,NA,40.7097865,-73.8204183,0,0,0,0,0,0,0,0,Traffic Control Disregarded,LARGE COM VEH(6 OR MORE TIRES),64,0,206,0,-110,68,340
288,35911,1/21/14,19:50,BROOKLYN,NA,40.7024868,-73.8598005,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
289,35912,1/21/14,19:40,QUEENS,NA,40.7254507,-73.8377671,0,0,0,0,0,0,0,0,Turning Improperly,PASSENGER VEHICLE,64,0,206,0,-110,68,340
290,35913,1/21/14,19:40,BROOKLYN,NA,40.6663479,-73.7609191,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
291,35914,1/21/14,19:39,QUEENS,11435,40.7083508,-73.813238,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
292,35915,1/21/14,19:35,QUEENS,11385,40.712202,-73.8620784,1,0,1,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
293,35916,1/21/14,19:35,BRONX,10470,40.8952213,-73.8800407,0,0,0,0,0,0,0,0,Outside Car Distraction,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
294,35917,1/21/14,19:32,QUEENS,11435,40.7087314,-73.8076209,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
295,35918,1/21/14,19:30,BRONX,NA,40.7391934,-73.9012705,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
296,35919,1/21/14,19:30,BROOKLYN,NA,40.6663873,-73.8017668,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
